,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
90,who is the present president of assam sahitya sabha,['Dhrubajyoti Bora'],List of Asam Sahitya Sabha presidents,0.0,Jyoti Naik,Jyoti Naik,0.0,Nanda Kumar Deb Barma,Kokborok Sahitya Sabha,0.0,Nanda Kumar Deb Barma,Kokborok Sahitya Sabha,0.0,Nanda Kumar Deb Barma,Kokborok Sahitya Sabha,0.0
91,when was the last time ny rangers won stanley cup,['1993 -- 94'],New York Rangers,0.0,1994,New York Rangers,0.0,1997,New York Rangers,0.0,1997,New York Rangers,13.53352832366127,1993,New York Islanders,13.53352832366127
92,when did the nest 3rd generation come out,"['September 1 , 2015']",Nest learning thermostat,0.0,"November 6, 2007",Empire Earth III,23.88437701912631,"September 25, 2012",Angry Birds Trilogy,12.500000000000004,"March 7, 2016.
DVD release.
The first series of ""Cuckoo"" was released on DVD on 1 September 2014",Cuckoo (TV series),0.0,3 June 2011,Dragon Nest,23.88437701912631
93,who won latest america's next top model,['Kyla Coleman'],America's Next Top Model (cycle 24),0.0,Saleisha Stowers,America's Next Top Model,0.0,Teyona,America's Next Top Model (cycle 12),0.0,Brittani Kline,America's Next Top Model (cycle 16),0.0,Whitney Thompson,America's Next Top Model (cycle 22),0.0
94,when was south african youth day first celebrated,"['June 16', '1976']",Youth Day,100.0,June 16,Soweto uprising,100.0,1976,Soweto uprising,0.0,1991,International Day of the African Child,100.0,16 June,Youth Day,100.0
95,baseball teams who have not won a world series,['Texas Rangers'],List of Major League Baseball franchise postseason droughts,0.0,Teams that had never won the World Series are included,List of MLB franchise post-season droughts,0.0,eight of the 14 expansion teams,List of Major League Baseball franchise postseason droughts,8.333333333333332,"the Houston Astros, San Diego Padres, Colorado Rockies, Texas Rangers (formerly the 1961–1971 version of the Washington Senators), Tampa Bay Rays, and Milwaukee Brewers",List of World Series champions,0.0,seven of the 14 expansion teams,List of Major League Baseball franchise postseason droughts,8.333333333333332
96,who has the most trophies in la liga,['Real Madrid'],List of Spanish football champions,100.0,Real Madrid,Real Madrid C.F. trophies,100.0,Real Madrid,Copa del Rey,100.0,Real Madrid,La Liga,100.0,Real Madrid,La Liga,0.0
97,who's playing in the sec championship 2017,"['the Eastern Division Champion , 2017 Georgia Bulldogs football team', 'Georgia Bulldogs']",2017 SEC Championship Game,36.787944117144235,Georgia,2007 SEC Championship Game,36.787944117144235,Georgia,2012 SEC Championship Game,36.787944117144235,Georgia,2012 SEC Championship Game,36.787944117144235,Georgia,2018 SEC Championship Game,0.0
98,who has the biggest airport in the us,['Atlanta'],List of the busiest airports in the United States,0.0,LaGuardia,LaGuardia Airport,25.0,artsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,0.0,Frontier Airlines,Denver International Airport,0.0,Raleigh–Durham International Airport,Raleigh–Durham International Airport,25.0
99,when was the last time the ducks won the stanley cup,"['2006 -- 07', '( 2006 -- 07 )']",Anaheim Ducks,0.0,2007,Clarence S. Campbell Bowl,0.0,2009,Anaheim Ducks,13.53352832366127,2006,History of the Anaheim Ducks,0.0,2009,Anaheim Ducks,13.53352832366127
100,who has the most number one single hits,['The Beatles'],List of Billboard Hot 100 chart achievements and milestones,0.0,Elton John,UK Singles Chart records,100.0,The Beatles,List of Billboard Hot 100 number-ones by British artists,100.0,The Beatles,List of Billboard Hot 100 number-ones by British artists,0.0,Jennifer Lopez,Artists with the most number-ones on the U.S. Dance Club Songs chart,100.0
101,when do new episodes of ncis los angeles return,"['October 1 , 2017', 'May 13 , 2018']",NCIS: Los Angeles (season 9),0.0,"September 26, 2007",Criminal Minds,23.88437701912631,"October 22, 2014",List of Criminal Minds episodes,0.0,"March 24, 2015",The X-Files (season 10),36.787944117144235,October 2017,Unusual Suspects (TV series),36.787944117144235
102,how many goals did mikel score for chelsea,"['1', '6']",John Obi Mikel,0.0,eight,John Terry,0.0,20,Graeme Le Saux,0.0,56,David Flavius,0.0,25,Henrikh Mkhitaryan,0.0
103,who sings love me tender in princess diaries 2,['Norah Jones'],The Princess Diaries soundtracks,0.0,Kylie Minogue,Kish Mauve,0.0,Hitomi,Love Life 2,0.0,Hitomi,Love Life 2,0.0,IU,A Flower Bookmark 2,0.0
104,who was the chicago bears quarterback last year,"['Jay Cutler ( 5 )', 'Jay Cutler']",List of Chicago Bears starting quarterbacks,0.0,Colt Brennan,Colt Brennan,66.66666666666666,Jay Christopher Cutler,Jay Cutler (American football),66.66666666666666,Jay Christopher Cutler,Jay Cutler (American football),0.0,Josh McCown,2013 Chicago Bears season,66.66666666666666
105,what was the last episode of the flash,"['The Elongated Knight Rises', ""`` The Elongated Knight Rises ''"", ""`` Finish Line ''""]",List of The Flash episodes,20.0,"""Flash: The Fastest Man Alive",Flash (Barry Allen),23.88437701912631,The Lightning Saga,Flash (comics),25.0,Flash: The Human Race,Flash (comics),36.787944117144235,Finish Line,The Flash (season 4),16.787944117144235
106,who represents the arizona 9th district in the house,"['Kyrsten Sinema ( D -- Phoenix )', 'Kyrsten Sinema']",Arizona's 9th congressional district,0.0,Barbara Lee,California's 9th congressional district,0.0,Loni Hancock,California's 9th State Senate district,100.0,Kyrsten Sinema,Arizona's 9th congressional district,100.0,Kyrsten Sinema,Arizona's 9th congressional district,100.0
107,leader of carthage in the first punic war,"['Hamilcar Barca', 'Xanthippus']",First Punic War,100.0,Xanthippus,Battle of Tunis,100.0,Hamilcar Barca,First Punic War,0.0,Rome,First Punic War,100.0,Hamilcar Barca,First Punic War,100.0
108,when did avatar the last airbender first air,"['February 21 , 2005', 'February 2005']",Avatar: The Last Airbender,66.66666666666666,"February 21, 2005",Aang,0.0,"June 30, 2010",The Last Airbender,0.0,"November 16, 2010",The Last Airbender,0.0,"June 30, 2010",The Last Airbender,66.66666666666666
109,where did the river thames start and end,"['Thames Head , Gloucestershire , UK']",River Thames,16.374615061559638,"Thames Head, near Cirencester, England",Thames Head,0.6737946999085467,Gloucestershire,List of crossings of the River Thames,45.48979947844751,Thames Head in Gloucestershire,River Thames,0.6737946999085467,Gloucestershire,List of crossings of the River Thames,44.81600477853896
110,when did the tv show the waltons first air,"['September 1972', 'September 14 , 1972 ( 1972 - 09 - 14 )']",The Waltons,6.666666666666667,1971. The show originally aired in the United States on CBS from 1972 to 1981,The Waltons,36.787944117144235,1972,Michael Learned,36.787944117144235,1972,Michael Learned,100.0,September 1972,The Waltons,93.33333333333333
111,how many pages are in the book inside out and back again,['263'],Inside Out & Back Again,0.0,133,The Cat Inside,0.0,133,The Cat Inside,0.0,133,The Cat Inside,0.0,133,The Cat Inside,0.0
112,who won the most stanley cups in history,['Montreal Canadiens'],Stanley Cup Finals,100.0,Montreal Canadiens,Presidents' Trophy,100.0,Montreal Canadiens,Stanley Cup,100.0,Montreal Canadiens,Stanley Cup,100.0,Montreal Canadiens,List of Stanley Cup champions,0.0
113,country with most olympic gold medals all time,['United States'],All-time Olympic Games medal table,100.0,United States,List of Olympic medalists in athletics (men),100.0,United States,World and Olympic records set at the 2012 Summer Olympics,100.0,United States,World and Olympic records set at the 2012 Summer Olympics,100.0,United States,List of Olympic teams by medals won,0.0
114,when did the song things that make you go hmmm come out,"['June 23 , 1991', 'June 1991']",Things That Make You Go Hmmm...,0.0,1998,What Makes it Go?,100.0,June 1991,Things That Make You Go Hmmm...,100.0,June 1991,Things That Make You Go Hmmm...,100.0,June 1991,Things That Make You Go Hmmm...,100.0
115,how much does a new gulfstream g650 cost,"['$66.5 million', 'US $ 66.61 million']",Gulfstream G650,0.0,2.8 gallon,Honda XR650L,50.0,$64.5 million,Gulfstream G650,50.0,$64.5 million,Gulfstream G650,50.0,$64.5 million,Gulfstream G650,50.0
116,when was the last time clemson won the national championship,['2016'],Clemson Tigers football,0.0,1991,Clemson Tigers,0.0,1981,Clemson Tigers football,0.0,1981,Clemson Tigers football,100.0,2016,Clemson Tigers football,100.0
117,who has sold more albums kelly or carrie,"['Carrie', 'Carrie Underwood']",List of American Idol alumni album sales in the United States,100.0,Carrie,Carrie Underwood,100.0,Carrie Underwood,American Idol contestants discography,100.0,Carrie Underwood,American Idol contestants discography,100.0,Carrie Underwood,American Idol contestants discography,0.0
118,who won the ncaa basketball championship in 1994,"['Arkansas Razorbacks', 'Arkansas']",1994 NCAA Division I Men's Basketball Tournament,100.0,Arkansas,1994 NCAA Men's Division I Basketball Tournament,100.0,Arkansas,1994 NCAA Men's Division I Basketball Tournament,100.0,Arkansas,1994 NCAA Men's Division I Basketball Tournament,100.0,Arkansas,1994 NCAA Division I Men's Basketball Tournament,0.0
119,who has won the cma entertainer of the year the most,['Garth Brooks'],Country Music Association Awards,100.0,Garth Brooks,American Music Award for Favorite Country Male Artist,100.0,Garth Brooks,American Music Award for Favorite Country Male Artist,100.0,Garth Brooks,American Music Award for Favorite Country Male Artist,100.0,Garth Brooks,American Music Award for Favorite Country Male Artist,0.0
120,when did frank sinatra first sing new york new york,"['1980', '1979']","Theme from New York, New York",100.0,1979,"Theme from New York, New York",100.0,1979,"Theme from New York, New York",100.0,1979,"Theme from New York, New York",0.0,1964,The Boy from New York City,100.0
121,list of local government area in benue state,['Ado'],Benue State,0.0,774,States of Nigeria,0.0,774,States of Nigeria,0.0,Guma,"Guma, Nigeria",0.0,Guma,"Guma, Nigeria",0.0
122,who won season 16 on dancing with the stars,['Kellie Pickler'],Dancing with the Stars (U.S. season 16),0.0,Sabra Johnson,So You Think You Can Dance (Season 3),0.0,Derrick Levasseur,Big Brother 16 (U.S.),0.0,Claudia Sandoval,MasterChef (U.S. season 6),0.0,Zendaya,Dancing with the Stars (U.S. season 22),0.0
123,how many students does monarch high school have,"['2,406 ( 2014 - 15 )', '2,406']",Monarch High School (Florida),0.0,1141,Mark Morris High School,0.0,417,Royal High School (Washington),0.0,417,Royal High School (Washington),0.0,100 to 130,Challenger Secondary School,0.0
124,how many episodes in my name is earl season 4,['27'],My Name Is Earl (season 4),0.0,16,List of The O.C. episodes,0.0,96,List of My Name Is Earl episodes,0.0,96,List of My Name Is Earl episodes,0.0,96,List of My Name Is Earl episodes,0.0
125,bruce springsteen we shall overcome the seeger sessions songs,"[""`` Old Dan Tucker ''""]",We Shall Overcome: The Seeger Sessions,0.0,we are mighty,Bruce Springsteen with The Seeger Sessions Band Tour,0.0,We Shall Overcome,Bruce Springsteen with The Seeger Sessions Band Tour,0.0,We Shall Overcome,Bruce Springsteen with The Seeger Sessions Band Tour,0.0,The underdog eventually wins,I Shall Overcome,0.0
126,when did the first marvel vs capcom come out,"['1996', '1998', 'in 1996']",Marvel vs. Capcom,100.0,1996,DC vs. Marvel,100.0,1996,DC vs. Marvel,0.0,1975,Super-Villain Team-Up,0.0,1987,Street Fighter,100.0
127,when did the golden state warriors win the finals,['1947'],Golden State Warriors,0.0,1974-75,Golden State Warriors,0.0,1975,Franklin Mieuli,100.0,1947,Golden State Warriors,0.0,1975,Franklin Mieuli,100.0
128,who won the oscar over wolf of wall street,['Martin Scorsese'],List of accolades received by The Wolf of Wall Street (2013 film),6.25,"Michael Douglas, Charlie Sheen, Daryl Hannah, Martin Sheen, Hal Holbrook, Sean Young and Terence Stamp. Douglas",Wall Street (film),0.0,DiCaprio,List of accolades received by The Wolf of Wall Street (2013 film),0.6535947712418302,"Michael Douglas, Charlie Sheen, Daryl Hannah and Martin Sheen. The film tells the story of Bud Fox (Sheen), a young stockbroker who becomes involved with Gordon Gekko (Douglas), a wealthy, unscrupulous corporate raider.
Stone made the film as a tribute to his father, Lou Stone, a stockbroker during the Great Depression. The character of Gekko is said to be a composite of several people, including Owen Morrisey, Dennis Levine, Ivan Boesky, Carl Icahn, Asher Edelman, Michael Ovitz, Michael Milken, and Stone himself. The character of Sir Lawrence Wildman, meanwhile, was modeled on the prominent British financier and corporate raider Sir James Goldsmith. Originally, the studio wanted Warren Beatty to play Gekko, but he was not interested; Stone, meanwhile, wanted Richard Gere, but Gere passed on the role. Stone went with Douglas even though he had been advised by others in Hollywood not to cast him.
The film was well received among major film critics. Douglas",Wall Street (1987 film),40.0,Martin Scorsese and Leonardo DiCaprio,The Wolf of Wall Street (2013 film),40.0
129,when was the young and the restless first aired,"['March 26 , 1973']",The Young and the Restless,71.65313105737893,March 26 1973,The Young and the Restless,47.76875403825262,"March 26, 1973",The Young and the Restless,47.76875403825262,"March 26, 1973",The Young and the Restless,47.76875403825262,"March 26, 1973",The Young and the Restless,23.884377019126312
130,who sang national anthem at the super bowl,['Pink'],List of national anthem performers at the Super Bowl,0.0,Mariah Carey,Super Bowl XXXVI,0.0,Christina Aguilera,The Star Spangled Banner (Whitney Houston song),0.0,Christina Aguilera,The Star-Spangled Banner (Whitney Houston recording),0.0,Christina Aguilera,The Star-Spangled Banner (Whitney Houston recording),0.0
131,what is the salary of us secretary of state,"['$205,700 annually', '$205,700']",United States Secretary of State,0.0,third ranking official,R. Nicholas Burns,0.0,Level I position in the Executive Schedule and thus earns the salary prescribed for that level,United States Secretary of State,0.0,Level I position in the Executive Schedule and thus earns the salary prescribed for that level,United States Secretary of State,100.0,"$205,700",United States Secretary of State,100.0
132,how many episodes in game if thrones season 7,"['7', 'seven']",Game of Thrones (season 7),100.0,seven,Saga of Seven Suns,0.0,13,History of Blake's 7,0.0,22,7th Heaven (season 7),100.0,seven,Game of Thrones,100.0
133,when did i'm like a bird come out,"['October 24 , 2000']",I'm Like a Bird,4.978706836786395,2000,I'm like a Bird,0.0,"March 13, 2006",Fly Like a Bird,0.0,"March 13, 2006",Fly Like a Bird,0.0,"March 13, 2006",Fly Like a Bird,4.978706836786395
134,who are the judges on the fisa court,['Dennis Saylor'],United States Foreign Intelligence Surveillance Court,0.0,72,Federal Administrative Court of Switzerland,0.0,72,Federal Administrative Court of Switzerland,0.0,Marla Graff Decker,Marla Graff Decker,0.0,Marla Graff Decker,Marla Graff Decker,0.0
135,who won the marathon in new york city,['Geoffrey Kamworor'],List of winners of the New York City Marathon,0.0,Lou Calvano,Long Island Marathon,50.0,Geoffrey Mutai,2011 New York City Marathon,50.0,Geoffrey Mutai,2011 Boston Marathon,0.0,Norbert Sander,Norbert Sander,50.0
136,when is the last time the jaguars won a playoff game,['2017'],List of NFL franchise post-season droughts,0.0,2000-2002,History of the Jacksonville Jaguars,0.0,1997,History of the Jacksonville Jaguars,0.0,December 13,Jaguars–Titans rivalry,100.0,2017,Jacksonville Jaguars,100.0
137,who is ranked 1 in women's tennis,['Simona Halep'],List of WTA number 1 ranked tennis players,0.0,elie Mauresmo,Maria Sharapova,0.0,Serena Jameka Williams,Serena Williams,0.0,Serena Jameka Williams,Serena Williams,100.0,Simona Halep,Angelique Kerber,100.0
