,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
109,Who if the commissioner of the NFL?,"['Roger Goodell', 'Goodell']",Super_Bowl_50,Roger Stokoe Goodell,{'Roger Stokoe Goodell': 'Roger Goodell'},100.0,Roger Stokoe Goodell,Roger Goodell,100.0,Roger Stokoe Goodell,Roger Goodell,100.0,Roger Stokoe Goodell,Roger Goodell,0.0
110,Who is the commissioner of the NFL?,"['Roger Goodell', 'Goodell']",Super_Bowl_50,Roger Goodell,{'Roger Goodell': 'Paul Tagliabue'},66.66666666666666,Roger Stokoe Goodell,Roger Goodell,100.0,Roger Stokoe Goodell,Roger Goodell,100.0,Roger Stokoe Goodell,Roger Goodell,33.33333333333334
111,"In early 2012, Goodell said that Super Bowl 50 would be what?","['spectacular', 'an important game for us as a league']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
112,What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,['spectacular'],Super_Bowl_50,spectacular,{'spectacular': 'Super Bowl 50'},100.0,spectacular,Super Bowl 50,100.0,spectacular,Super Bowl 50,100.0,spectacular,Super Bowl 50,0.0
113,"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?",['2012'],Super_Bowl_50,2009,{'2009': 'Super Bowl 50'},100.0,2012,Super Bowl 50,100.0,2012,Super Bowl 50,100.0,2012,Super Bowl 50,0.0
114,Which Louisiana venue was one of three considered for Super Bowl 50?,"[""New Orleans' Mercedes-Benz Superdome"", 'Mercedes-Benz Superdome']",Super_Bowl_50,,None,0.0,Grambling State,Cotton Bowl (stadium),-1.0,None,None,0.0,Louisiana-Lafayette,Mercedes-Benz Superdome,1.0
115,Which Florida venue was one of three considered for Super Bowl 50?,"[""Miami's Sun Life Stadium"", 'Sun Life Stadium']",Super_Bowl_50,,None,-1.0,None,None,33.33333333333333,Raymond James Stadium,Super Bowl LV,100.0,Raymond James Stadium,Super Bowl LV,101.0
116,Which California venue was one of three considered for Super Bowl 50?,"[""San Francisco Bay Area's Levi's Stadium"", ""Levi's Stadium""]",Super_Bowl_50,,None,33.33333333333333,Los Angeles Stadium,Los Angeles Stadium,0.0,Inglewood,Los Angeles Stadium at Hollywood Park,-1.0,None,None,34.33333333333333
117,What venue in Miami was a candidate for the site of Super Bowl 50?,['Sun Life Stadium'],Super_Bowl_50,Sun Life Stadium,{'Sun Life Stadium': 'Miami Orange Bowl'},0.0,Marlins Park,Marlins Park,0.0,American Airlines Arena,Miami MLS stadium,33.33333333333333,Hard Rock Stadium,Miami Orange Bowl,33.33333333333333
118,What site is located in the San Francisco Bay Area?,"[""Levi's Stadium""]",Super_Bowl_50,San Francisco Bay,{'San Francisco Bay': 'List of cities and towns in the San Francisco Bay Area'},100.0,San Francisco Bay,List of cities and towns in the San Francisco Bay Area,100.0,San Francisco Bay,List of cities and towns in the San Francisco Bay Area,75.0,San Francisco Bay estuaries,List of cities and towns in the San Francisco Bay Area,25.0
119,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,"[""Levi's Stadium"", ""Levi's Stadium.""]",Super_Bowl_50,Levi's Stadium,"{""Levi's Stadium"": 'Super Bowl 50'}",50.0,Kezar Stadium,Kezar Stadium,100.0,Kezar Stadium,Kezar Stadium,33.33333333333333,East Bay Stadium,East Bay Stadium,66.66666666666667
120,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,['Mercedes-Benz Superdome'],Super_Bowl_50,Mercedes-Benz Superdome,{'Mercedes-Benz Superdome': 'Super Bowl 50'},0.0,Tulane Stadium,History of the New Orleans Saints,100.0,Tulane Stadium,History of the New Orleans Saints,50.0,Louisiana Superdome,Super Bowl XLIV,100.0
121,What was the given name of Miami's stadium at the time of Super Bowl 50?,['Sun Life Stadium'],Super_Bowl_50,Bobby Maduro Miami Stadium,{'Bobby Maduro Miami Stadium': 'Miami Stadium'},100.0,Bobby Maduro Miami Stadium,Miami Stadium,100.0,Bobby Maduro Miami Stadium,Miami Stadium,30.326532985631673,Dolphins Stadium,Marlins Park,69.67346701436833
122,What three stadiums did the NFL decide between for the game?,"[""New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium"", ""New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.""]",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
123,How many sites did the NFL narrow down Super Bowl 50's location to?,['three'],Super_Bowl_50,three,{'three': 'Super Bowl 50'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
124,"One of the sites, Merceds-Benz Superdome, is located where?","['New Orleans', ""New Orleans'""]",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
125,What is the name of the stadium in Miami that was considered?,['Sun Life Stadium'],Super_Bowl_50,Minute Maid Park,{'Minute Maid Park': 'Marlins Park'},30.326532985631673,Dolphin Stadium,New Miami Stadium,50.0,Dolphins Stadium,Marlins Park,100.0,Dolphin Stadium,History of the Miami Marlins,69.67346701436833
126,What was the third city that was considered?,"['San Francisco', ""San Francisco Bay Area's""]",Super_Bowl_50,,None,0.0,Moscow,Third Rome,100.0,Moscow,Third Rome,100.0,Moscow,"Moscow, third Rome",100.0
127,What is the name of the stadium in San Francisco Bay Area?,"[""Levi's Stadium."", ""Levi's Stadium""]",Super_Bowl_50,Negoesco Stadium,{'Negoesco Stadium': 'Negoesco Stadium'},100.0,Negoesco Stadium,Negoesco Stadium,50.0,Kezar Stadium,Kezar Stadium,100.0,Kezar Stadium,Oakland Coliseum,50.0
128,What Florida stadium was considered for Super Bowl 50?,['Sun Life Stadium'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
129,What New Orleans stadium was considered for Super Bowl 50?,"['Mercedes-Benz Superdome', 'Mercedes-Benz Superdome,']",Super_Bowl_50,Mercedes-Benz Superdome,{'Mercedes-Benz Superdome': 'Super Bowl 50'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
130,What is the name of the stadium where Super Bowl 50 was played?,"[""Levi's Stadium."", ""Levi's Stadium""]",Super_Bowl_50,Levi's Stadium,"{""Levi's Stadium"": 'Super Bowl 50'}",100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50,0.0
131,When were the two finalists for hosting Super Bowl 50 announced?,"['October 16, 2012', 'October 16, 2012,']",Super_Bowl_50,"October 16, 2012","{'October 16, 2012': 'Super Bowl 50'}",100.0,"October 16, 2012",Super Bowl 50,100.0,"October 16, 2012",Super Bowl 50,100.0,"October 16, 2012",Super Bowl 50,0.0
132,How many times has the South Florida/Miami area hosted the Super Bowl?,['10'],Super_Bowl_50,16,{'16': 'Southeastern United States'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
133,What was the most recent Super Bowl hosted in the South Florida/Miami area?,"['Super Bowl XLIV', '2010']",Super_Bowl_50,,None,-1.0,None,None,100.0,Super Bowl XLIV,Super Bowl LIV,-1.0,None,None,101.0
134,When was the most recent Super Bowl hosted in the South Florida/Miami area?,['2010'],Super_Bowl_50,,None,0.0,January 2009,New Miami Stadium,100.0,January 2009,Hard Rock Stadium,-1.0,None,None,101.0
135,When did the San Francisco Bay area last host the Super Bowl?,['1985'],Super_Bowl_50,January 2012,{'January 2012': 'Candlestick Park'},100.0,January 2012,Candlestick Park,100.0,2012,San Francisco 49ers,100.0,January 2012,Candlestick Park,0.0
136,What was the other finalist besides Levi's Stadium?,['Sun Life Stadium'],Super_Bowl_50,Sun Life Stadium,"{'Sun Life Stadium': ""Levi's Stadium""}",100.0,Sun Life Stadium,Levi's Stadium,0.0,Minneapolis,Bids for the 1996 Summer Olympics,100.0,Minneapolis,Bids for the 1996 Summer Olympics,100.0
137,When were the finalists announced?,"['October 16, 2012', 'October 16, 2012,']",Super_Bowl_50,12 December 2010,{'12 December 2010': 'List of The X Factor finalists (UK series 7)'},100.0,12 December 2010,List of The X Factor finalists (UK series 7),0.0,"January 14, 2004",World Trade Center Site Memorial Competition,0.0,September 2015,Selection of Discovery Mission 13 and 14,100.0
138,In what venue did Super Bowl XIX take place?,['Stanford Stadium'],Super_Bowl_50,University of Phoenix Stadium,{'University of Phoenix Stadium': 'Super Bowl XLIX'},100.0,University of Phoenix Stadium,Super Bowl XLIX,100.0,University of Phoenix Stadium,Super Bowl XLIX,50.0,Gillette Stadium,Super Bowl LII,50.0
139,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"['May 3, 2013']",Super_Bowl_50,May 2005,{'May 2005': 'Marlins Park'},100.0,May 2005,Marlins Park,100.0,May 2005,Marlins Park,-1.0,None,None,101.0
140,In what year was the Super Bowl last held in the Miami/South Florida area?,['2010'],Super_Bowl_50,2008,{'2008': 'Miami Orange Bowl'},-1.0,None,None,0.0,2009,Super Bowl LV,100.0,2008,Miami Orange Bowl,101.0
141,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,"['two', '10']",Super_Bowl_50,five,{'five': 'Sun Life Stadium'},100.0,five,New Miami Stadium,100.0,five,Hard Rock Stadium,0.0,eleven,Super Bowl,100.0
142,What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,"['Super Bowl XLIV', '2010']",Super_Bowl_50,Super Bowl X,{'Super Bowl X': 'Miami Orange Bowl'},-1.0,None,None,100.0,Super Bowl X,Miami Orange Bowl,0.0,1999,Orange Bowl,101.0
143,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",['two'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
144,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,"['Florida legislature', 'the Florida legislature']",Super_Bowl_50,Huizenga,{'Huizenga': 'Marlins Park'},0.0,Sun Life Financial,New Miami Stadium,-1.0,None,None,-1.0,None,None,1.0
145,"Prior to this consideration, when did San Francisco last host a Super Bowl?",['1985'],Super_Bowl_50,1979,{'1979': 'History of the San Francisco 49ers'},0.0,1994,San Francisco 49ers,0.0,1972,San Francisco 49ers,0.0,1980,San Francisco 49ers,0.0
146,What other city has hosted the Super Bowl ten times?,['New Orleans'],Super_Bowl_50,New Orleans,{'New Orleans': 'Super Bowl'},100.0,New Orleans,Super Bowl,100.0,New Orleans,Super Bowl,100.0,New Orleans,Super Bowl,0.0
147,What date were the top two stadium choices for Super Bowl 50 announced?,"['October 16, 2012', 'October 16, 2012,']",Super_Bowl_50,"October 16, 2012","{'October 16, 2012': 'Super Bowl 50'}",100.0,"October 16, 2012",Super Bowl 50,100.0,"October 16, 2012",Super Bowl 50,100.0,"October 16, 2012",Super Bowl 50,0.0
148,How many times prios has the Sun Life Stadium had Super Bowls?,"['10.', '10', '10 times']",Super_Bowl_50,five,{'five': 'Sun Life Stadium'},0.0,second,University of Phoenix Stadium,100.0,second,University of Phoenix Stadium,-1.0,None,None,101.0
149,What city is tied with Miami for hosting the Super Bowl?,['New Orleans'],Super_Bowl_50,New Orleans,{'New Orleans': 'Miami'},100.0,New Orleans,Miami,0.0,Atlanta,Super Bowl LV,100.0,New Orleans,Super Bowl 50,100.0
150,When was the last time San Francisco hosted a Super Bowl?,['1985'],Super_Bowl_50,2011,{'2011': 'San Francisco 49ers'},0.0,2011–,San Francisco 49ers,0.0,2012,San Francisco 49ers,50.0,January 2012,Candlestick Park,50.0
151,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,"['Florida legislature', 'the Florida legislature']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,0.0,David Modell,Cleveland Browns relocation controversy,1.0
152,When was Levi's Stadium awarded the right to host Super Bowl 50?,"['May 21, 2013', 'May 21, 2013,']",Super_Bowl_50,"February 7, 2016","{'February 7, 2016': ""Levi's Stadium""}",100.0,"February 7, 2016",Levi's Stadium,100.0,"February 7, 2016",Super Bowl 50,100.0,"February 7, 2016",Levi's Stadium,0.0
153,Who voted on the venue for Super Bowl 50?,['NFL owners'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
154,When did Lev's Stadium open?,"['2014', 'in 2014']",Super_Bowl_50,30 July 1950,{'30 July 1950': 'Kirov Stadium'},0.0,1953,Vasil Levski National Stadium,100.0,1953,Vasil Levski National Stadium,0.0,"September 25, 1960",Stadion Druzhba (Dobrich),100.0
155,How much did it cost to build Levi's Stadium?,['$1.2 billion'],Super_Bowl_50,$916 million,"{'$916 million': ""Levi's Stadium""}",100.0,$916 million,Levi's Stadium,100.0,$916 million,Levi's Stadium,0.0,$916 million,Levi's Stadium,100.0
156,What California city last hosted the Super Bowl?,['San Diego'],Super_Bowl_50,,None,100.0,San Diego,Super Bowl XXXVII,100.0,San Diego,Super Bowl XXXVII,-1.0,None,None,101.0
157,Where did the spring meetings of the NFL owners take place?,"['Boston', 'in Boston', 'May 21, 2013']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
158,On what date was Super Bowl 50 given to Levi's Stadium?,"['May 21, 2013', 'May 21, 2013,']",Super_Bowl_50,"February 7, 2016","{'February 7, 2016': ""Levi's Stadium""}",100.0,"February 7, 2016",Super Bowl 50 halftime show,100.0,"February 7, 2016",Super Bowl 50,100.0,"February 7, 2016",Super Bowl 50 halftime show,0.0
159,"Prior to Super Bowl 50, what was the last Super Bowl in California?","['Super Bowl XXXVII', 'XXXVII']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
160,In what city did the last Super Bowl in California occur?,['San Diego'],Super_Bowl_50,,None,-1.0,None,None,50.0,San Francisco,Candlestick Park,-1.0,None,None,51.0
161,What year did Levi's Stadium become fully approved to host Super Bowl 50?,['2013'],Super_Bowl_50,,None,0.0,2016,Levi's Stadium,100.0,2016,Levi's Stadium,100.0,2016,Levi's Stadium,100.0
162,When did Levi's stadium open to the public? ,['2014'],Super_Bowl_50,"July 17, 2014","{'July 17, 2014': ""Levi's Stadium""}",100.0,"July 17, 2014",Levi's Stadium,100.0,"July 17, 2014",Levi's Stadium,50.0,July 17,Levi's Stadium,50.0
163,How much did it cost to build the stadium where Super Bowl 50 was played?,['$1.2 billion'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,50.0,$1.6 billion,MetLife Stadium,51.0
164,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",['1985'],Super_Bowl_50,1985,{'1985': 'Super Bowl 50'},-1.0,None,None,0.0,2016,Super Bowl XXXVII,100.0,2016,Super Bowl XXXVII,101.0
165,Which Super Bowl was hosted in San Diego in 2003? ,"['Super Bowl XXXVII', 'XXXVII']",Super_Bowl_50,Super Bowl XXXVII,{'Super Bowl XXXVII': 'Qualcomm Stadium'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
166,When was San Francisco voted to be the location for Super Bowl 50?,"['May 21, 2013', 'May 21, 2013,']",Super_Bowl_50,"May 21, 2013","{'May 21, 2013': ""Levi's Stadium""}",0.0,"February 7, 2016",Super Bowl 50,-1.0,None,None,100.0,"February 7, 2016",Super Bowl 50,101.0
167,When did Levi's Stadium open?,"['2014.', 'in 2014', '2014']",Super_Bowl_50,"July 17, 2014","{'July 17, 2014': ""Levi's Stadium""}",100.0,"July 17, 2014",Levi's Stadium,100.0,"July 17, 2014",Levi's Stadium,100.0,"July 17, 2014",Levi's Stadium,0.0
168,When was the last Super Bowl in California?,"['2003', 'in 2003']",Super_Bowl_50,1991,{'1991': 'California Bowl'},-1.0,None,None,0.0,Super Bowl 50,Super Bowl XXXVII,100.0,1991,California Bowl,101.0
169,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,"['Boston', 'in Boston']",Super_Bowl_50,Boston,{'Boston': 'Super Bowl LI'},100.0,Boston,Super Bowl LI,-1.0,None,None,0.0,Chicago,Super Bowl LVI,101.0
170,When was Levi's Stadium picked for Super bowl 50?,"['May 21, 2013']",Super_Bowl_50,"February 7, 2016","{'February 7, 2016': ""Levi's Stadium""}",100.0,"February 7, 2016",Levi's Stadium,100.0,"February 7, 2016",Super Bowl 50,100.0,"February 7, 2016",Super Bowl 50,0.0
171,How much did Levi's Stadium cost?,['$1.2 billion'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
172,When was the last time California hosted a Super Bowl?,"['2003.', '2003']",Super_Bowl_50,,None,-1.0,None,None,0.0,2012,San Francisco 49ers,-1.0,None,None,1.0
173,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,"['John Fox', 'Fox']",Super_Bowl_50,,None,100.0,John Fox,Super Bowl 50,100.0,John Fox,Super Bowl 50,100.0,John Fox,Super Bowl 50,0.0
174,How many NFL teams have finished the regular season with one loss?,"['ten', 'six']",Super_Bowl_50,eight,{'eight': 'Perfect season'},0.0,eleven,Perfect season,100.0,eleven,Perfect season,100.0,eleven,Perfect season,100.0
175,How many NFL teams have gone 15-1 in one season?,['six'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
176,Which team in Super Bowl 50 had a 15-1 record?,"['Carolina Panthers', 'The Carolina Panthers', 'Panthers']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,0.0,Steelers,Super Bowl XXXIX,1.0
177,What was the last Super Bowl the Broncos participated in?,"['Super Bowl XLVIII', 'XLVIII']",Super_Bowl_50,,None,66.66666666666666,Super Bowl XXXIII,Super Bowl 50,66.66666666666666,Super Bowl 50,Denver Broncos,0.0,2011,2005 Denver Broncos season,66.66666666666666
178,Who was the head coach of the Broncos in Super Bowl XLVIII?,"['John Fox', 'Fox']",Super_Bowl_50,Gary Kubiak,{'Gary Kubiak': 'Super Bowl XXI'},100.0,John Fox,Peyton Manning,100.0,Gary Kubiak,2016 Denver Broncos season,100.0,John Fox,Peyton Manning,0.0
179,What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,['eight'],Super_Bowl_50,seven,{'seven': 'History of the Denver Broncos'},100.0,eight,History of the Denver Broncos,100.0,eight,History of the Denver Broncos,100.0,eight,History of the Denver Broncos,0.0
180,How many NFL teams have had only one loss by the end of a regular season?,['ten'],Super_Bowl_50,eight,{'eight': 'Perfect season'},0.0,eleven,Perfect season,100.0,eleven,Perfect season,100.0,eleven,Perfect season,100.0
181,What was the first Super Bowl that the Carolina Panthers played in? ,"['Super Bowl XXXVIII', 'XXXVIII']",Super_Bowl_50,Super Bowl XXXVIII,{'Super Bowl XXXVIII': 'List of Carolina Panthers seasons'},66.66666666666666,Super Bowl 50,Carolina Panthers,-1.0,None,None,0.0,2003,Carolina Panthers,67.66666666666666
182,How many teams can boast a 15–1 regular season record?,"['six', 'ten']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
183,What seed was the Carolina Panthers?,"['number one', 'one']",Super_Bowl_50,29th,{'29th': 'List of Carolina Panthers first-round draft picks'},100.0,29th,List of Carolina Panthers first-round draft picks,100.0,29th,List of Carolina Panthers first-round draft picks,100.0,29th,List of Carolina Panthers first-round draft picks,0.0
