,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
28,where are the next two winter olympics going to be held,['Beijing'],List of Olympic Games host cities,"Vancouver, British Columbia, Canada, St. Moritz was appointed by the Swiss organisers to host the second Olympic Winter Games, held from February 11 to February 19 in 1928. Curling and military patrol were no longer medal sports (although the latter was demonstrated) while skeleton made its first Olympic appearance. Warm weather conditions plagued the Olympics on the fourth day. The 10000 m speed skating was abandoned in the 5th pair, and the 50 km cross-country event ended with a temperature of 77 °F (25 °C), forcing a third of the field to abandon competition.
The next Olympics came to North America, Almaty, Kazakhstan, France, Anapa, Gelendzhik and Adler, Sochi, 2022, 2024 Summer Olympics, a coastal cluster in Sochi and a mountain cluster in Krasnaya Polyana, 2020 Summer Olympics","{'Vancouver, British Columbia, Canada': 'Winter Olympic Games', 'St. Moritz was appointed by the Swiss organisers to host the second Olympic Winter Games, held from February 11 to February 19 in 1928. Curling and military patrol were no longer medal sports (although the latter was demonstrated) while skeleton made its first Olympic appearance. Warm weather conditions plagued the Olympics on the fourth day. The 10000 m speed skating was abandoned in the 5th pair, and the 50\xa0km cross-country event ended with a temperature of 77 °F (25 °C), forcing a third of the field to abandon competition.\nThe next Olympics came to North America': 'Winter Olympic Games', 'Almaty, Kazakhstan': '2011 Asian Winter Games', 'France': 'Winter Olympic Games', 'Anapa, Gelendzhik and Adler': '2014 Winter Olympics', 'Sochi': '2014 Winter Olympics', '2022': '2022 Winter Olympics', '2024 Summer Olympics': '2024 Summer Olympics', 'a coastal cluster in Sochi and a mountain cluster in Krasnaya Polyana': '2014 Winter Olympics', '2020 Summer Olympics': '2020 Summer Olympics'}",38.46153846153847,"The 2028 Summer Olympics, officially known as the Games of the XXXIV Olympiad",2028 Summer Olympics,60.0,"Almaty, Kazakhstan and Beijing, China",Bids for the 2022 Winter Olympics,100.0,"Almaty, Kazakhstan and Beijing, China",Bids for the 2022 Winter Olympics,61.53846153846153
29,when did i'm coming out come out,"['August 22 , 1980']",I'm Coming Out,"July 25, 2000, April 4, 2006, 13 August, 2007, 23 January 2006, 1980, 21 February 2006, November 19, 1996, 2003, late 2008/early 2009, 23 January 2006","{'July 25, 2000': 'Coming from the Sky', 'April 4, 2006': ""I'm Not Dead"", '13 August, 2007': 'Tuff Teef', '23 January 2006': ""Whatever People Say I Am, That's What I'm Not"", '1980': ""I'm Coming Out"", '21 February 2006': ""Whatever People Say I Am, That's What I'm Not"", 'November 19, 1996': 'Ill Na Na', '2003': ""I'm Coming Out"", 'late 2008/early 2009': ""I'm Not Dead""}",100.0,2003,I'm Coming Home (album),66.66666666666666,"November 6, 2007",The DEY Has Come (EP),33.33333333333333,"August 19, 2016",I Told You,66.66666666666667
30,what type of bridge is the charles bridge,"['a bow bridge with 16 arches', 'bow bridge', 'a bow bridge', 'Stone']",Charles Bridge,"double-decker truss, historical, railway drawbridge, easternmost bridge, suspension bridge, stone arch, cable-stayed Zakim Bunker Hill Bridge, bascule, The Great Bridge, gothic","{'double-decker truss': 'Charlestown High Bridge', 'historical': 'Charles Bridge', 'railway drawbridge': 'Charles River Bridge (Commuter Rail)', 'easternmost bridge': 'Charlestown Bridge', 'suspension bridge': 'Ambassador Bridge', 'stone arch': 'Bulkeley Bridge', 'cable-stayed Zakim Bunker Hill Bridge': 'Charlestown High Bridge', 'bascule': 'Charles River Dam Bridge', 'The Great Bridge': 'Great Bridge (Cambridge)', 'gothic': 'Charles Bridge'}",100.0,gothic,Charles Bridge,100.0,gothic,Charles Bridge,100.0,gothic,Charles Bridge,0.0
31,who did dwight howard play for last year,"['Atlanta Hawks', 'Charlotte Hornets of the National Basketball Association ( NBA )', 'Charlotte Hornets']",Dwight Howard,"New York Jets, Oakland Raiders, Charlotte Bobcats, New York Mets, Orlando Magic, Hargrave Military Academy, New York Jets, Kobe Bryant, Dallas Mavericks, Denver Nuggets","{'New York Jets': 'Tim Dwight', 'Oakland Raiders': 'Tim Dwight', 'Charlotte Bobcats': 'Dwight Howard', 'New York Mets': 'Mike Howard', 'Orlando Magic': 'Dwight Howard', 'Hargrave Military Academy': 'Josh Howard', 'Kobe Bryant': 'Josh Howard', 'Dallas Mavericks': 'Juwan Howard', 'Denver Nuggets': 'Juwan Howard'}",100.0,Oakland Raiders,Austin Howard,100.0,Oakland Raiders,Austin Howard,50.0,Charlotte Hornets,Dwight Howard,50.0
32,who lasted the longest in the royal rumble,['Rey Mysterio'],Royal Rumble,"Bruno Sammartino, Bam Bam Bigelow, Brock Lesnar, The Undertaker, Undertaker, Ludvig Borga vs. Tatanka, John Cena, The Undertaker, The Big Show, Royal Rumble 1992 was the fifth annual Royal Rumble professional wrestling pay-per-view event produced by the World Wrestling Federation (WWF). It took place on January 19 1992 at the Knickerbocker Arena in Albany, New York.
Royal Rumble entrances and eliminations.
A new entrant came out approximately every 2 minutes","{'Bruno Sammartino': 'List of WWE Championship reigns by length', 'Bam Bam Bigelow': 'Royal Rumble (1994)', 'Brock Lesnar': 'King of the Ring', 'The Undertaker': 'Royal Rumble (2005)', 'Undertaker': 'Royal Rumble (2002)', 'Ludvig Borga vs. Tatanka': 'Royal Rumble (1994)', 'John Cena': 'Royal Rumble (2005)', 'The Big Show': 'Royal Rumble (2005)', 'Royal Rumble 1992 was the fifth annual Royal Rumble professional wrestling pay-per-view event produced by the World Wrestling Federation (WWF). It took place on January 19 1992 at the Knickerbocker Arena in Albany, New York.\nRoyal Rumble entrances and eliminations.\nA new entrant came out approximately every 2 minutes': 'Royal Rumble (1992)'}",100.0,Bam Bam Bigelow,Royal Rumble (1994),100.0,The Undertaker,The Streak (wrestling),100.0,The Undertaker,Royal Rumble (1994),0.0
33,what is the largest man made lake in the us,['Lake Oahe'],List of largest lakes of the United States by area,"Lake Mead, Franklin D. Roosevelt Lake, Summersville Lake, Wilson Lake, Mandon Lake, Lake Wilderness, Lake Mead, Utah Lake, Utah Lake, Jackson Lake","{'Lake Mead': 'Lake Mead', 'Franklin D. Roosevelt Lake': 'Franklin D. Roosevelt Lake', 'Summersville Lake': 'Summersville Lake', 'Wilson Lake': 'Wilson Lake', 'Mandon Lake': 'Mandon Lake', 'Lake Wilderness': 'Lake Wilderness', 'Utah Lake': 'Utah Lake', 'Jackson Lake': 'Jackson Lake'}",100.0,Mandon Lake,Mandon Lake,100.0,Mandon Lake,Mandon Lake,100.0,Mandon Lake,Mandon Lake,0.0
34,state with highest population growth rate in india 2011,"['Meghalaya', 'Dadra and Nagar Haveli']",List of states and union territories of India by population,"Maharashtra, Karnataka, Jharkhand, Meghalaya, Raipur, Jharkhand, Jharkhand, 32.11% were urban as of 2001, Chhattisgarh, Madhya Pradesh","{'Maharashtra': 'States of India by urban population', 'Karnataka': 'Indian states ranking by fertility rate', 'Jharkhand': 'Jharkhand', 'Meghalaya': 'List of big cities in North East India', 'Raipur': 'Raipur', '32.11% were urban as of 2001': 'Chandrapur District', 'Chhattisgarh': 'Raipur', 'Madhya Pradesh': 'Ujjain District'}",50.0,Uttar Pradesh,2011 Census of India,50.0,urban areas,Income in India,100.0,Uttar Pradesh,2011 Census of India,50.0
35,which city is called the manchester of north india,['Ahmedabad'],List of cities and towns in India by nicknames,"Lucknow, Mirzapur, Manchester, Capital of the North, Allahabad, Allahabad, Haldwani, North East England, Lucknow, Ludhiana","{'Lucknow': 'Lucknow', 'Mirzapur': 'Mirzapur', 'Manchester': 'Manchester (disambiguation)', 'Capital of the North': 'Manchester', 'Allahabad': 'Allahabad', 'Haldwani': 'Haldwani', 'North East England': 'Manchester', 'Ludhiana': 'Ludhiana'}",100.0,Lucknow,Lucknow,100.0,Allahabad,Allahabad,100.0,Allahabad,Allahabad (disambiguation),0.0
36,who won college basketball player of the year,['Jalen Brunson'],Naismith College Player of the Year,"Kevin Durant, John Wooden, Chip Hilton, Lew Alcindor, Akeem Olajuwon, Oscar Robertson Trophy, Mr. Wooden, Bob Cousy Award is an annual merit given to the top men's collegiate point guard, John Wooden, Dennis Scott and Lynn Lorenzen","{'Kevin Durant': 'Adolph Rupp Trophy', 'John Wooden': 'John R. Wooden Award', 'Chip Hilton': 'Chip Hilton Player of the Year Award', 'Lew Alcindor': 'Naismith College Player of the Year', 'Akeem Olajuwon': 'NCAA Basketball Tournament Most Outstanding Player', 'Oscar Robertson Trophy': 'USBWA College Player of the Year', 'Mr. Wooden': 'John R. Wooden Award', ""Bob Cousy Award is an annual merit given to the top men's collegiate point guard"": 'Bob Cousy Award', 'Dennis Scott and Lynn Lorenzen': 'Naismith Prep Player of the Year Award'}",42.857142857142854,Oscar Robertson of Cincinnati and Bill Walton,Sporting News Men's College Basketball Player of the Year,77.77777777777779,Oscar Robertson of Cincinnati and Bill Walton of UCLA,Sporting News Men's College Basketball Player of the Year,100.0,Oscar Robertson of Cincinnati and Bill Walton of UCLA,Sporting News Men's College Basketball Player of the Year,57.142857142857146
37,where can the mona lisa be found today,"['at the Louvre Museum in Paris', 'Musée du Louvre , Paris', 'Louvre Museum in Paris', 'on permanent display at the Louvre Museum in Paris']",Mona Lisa,"Guánica, Musée du Louvre, Musée du Louvre, Haiti and the Dominican Republic, Palazzo Castellani, Aventine Hill, Puerto Rico, Naples, carpets to mouse pads, Leonardo da Vinci","{'Guánica': 'Mona, Puerto Rico', 'Musée du Louvre': 'Mona Lisa', 'Haiti and the Dominican Republic': 'Mona, Puerto Rico', 'Palazzo Castellani': 'Institute and Museum of the History of Science', 'Aventine Hill': 'Villa Malta', 'Puerto Rico': 'Mona, Puerto Rico', 'Naples': 'Certosa di San Martino', 'carpets to mouse pads': 'Mona Lisa', 'Leonardo da Vinci': 'Mona Lisa (disambiguation)'}",100.0,Palazzo Castellani,Museo Galileo,100.0,Palazzo Castellani,Museo Galileo,100.0,Palazzo Castellani,Museo Galileo,0.0
38,when was the last time someone won the super bowl back to back,['2004'],Super Bowl curse,"1997–, 2005's Super Bowl XXXIX, Bowl IV in New Orleans, 1995 and 2001, 2003, 1970, 2001, 1960 to 1989, 1982, Super Bowl XXXV","{'1997–': 'Super Bowl XXXIX', ""2005's Super Bowl XXXIX"": 'Super Bowl XXXIII', 'Bowl IV in New Orleans': 'Super Bowl', '1995 and 2001': 'National Football League Comeback Player of the Year Award', '2003': 'Super Bowl XXXVIII', '1970': 'List of Super Bowl champions', '2001': 'Super Bowl XXXVIII', '1960 to 1989': 'Super Bowl Most Valuable Player Award', '1982': 'Super Bowl XXXVIII', 'Super Bowl XXXV': 'Super Bowl Most Valuable Player Award'}",100.0,1995,Super Bowl,100.0,1995,Super Bowl 50,100.0,1995,Super Bowl 50,0.0
39,where did the last name edwards come from,"['arose separately in England and Wales', 'England']",Edwards (surname),"English, Old French, Wales, Scandinavian, British colony New South Wales. There is an earlier anglicized version of the name, Loutopolous, but the original Greek name has been lost, Old German, Northern Irish origin. The name is an Anglicisation of the Gaelic ""Mac Amhalghaidh"", a personal name of uncertain origin, Northern Irish origin. The name is an Anglicisation of the Gaelic ""Mac Amhalghaidh"", a personal name of uncertain origin, Elwes is a surname, English","{'English': 'Travis', 'Old French': 'Williams (surname)', 'Wales': 'Edwards (surname)', 'Scandinavian': 'Edwardson', 'British colony New South Wales. There is an earlier anglicized version of the name, Loutopolous, but the original Greek name has been lost': 'Laundess', 'Old German': 'Wilson (surname)', 'Northern Irish origin. The name is an Anglicisation of the Gaelic ""Mac Amhalghaidh"", a personal name of uncertain origin': 'McAulay', 'Elwes is a surname': 'Elwes'}",100.0,Old French,Williams (surname),100.0,Old French,Williams (surname),100.0,Old French,Williams (surname),0.0
40,who is mostly responsible for writing the declaration of independence,['Thomas Jefferson'],United States Declaration of Independence,"Robert Treat Paine, Alexander Hamilton, John Hart, Adam Smith, Charles Carroll, Roger Sherman, Committee of Five, Sherman, Samuel Adams, Adams","{'Robert Treat Paine': 'Robert Treat Paine (disambiguation)', 'Alexander Hamilton': 'John Jay', 'John Hart': 'John Hart (disambiguation)', 'Adam Smith': '1776 (disambiguation)', 'Charles Carroll': 'Daniel Carroll', 'Roger Sherman': 'Roger Sherman', 'Committee of Five': 'Roger Sherman', 'Sherman': 'Roger Sherman', 'Samuel Adams': 'Samuel Adams', 'Adams': 'Samuel Adams'}",100.0,John Adams,United States Declaration of Independence,100.0,Paine,Thomas Paine,100.0,John Adams,United States Declaration of Independence,0.0
41,who does april end up with on parks and rec,"['Andy', 'Andy Dwyer']",April Ludgate,"Bobby Ewing, Bobby Ewing, Ninja Turtles, George, a neighbour's daughter, Shadow, Carol Jackson, Derek, Sue, Max and Jack Branning. 
History.
April arrived in Albert Square in December 1995 to invite Carol and her boyfriend Alan to her wedding. April had been living and working in Greece, Donatello, her son, Luke, Eric's wife and a doctor at the medical center. There is much tension in Eric and April's relationship.
Eric discovers that April had planned to divorce him before the attack, but no longer wants to do so. The divorce petition, seen briefly in the fifth episode, identifies their residence as 4893 Deerborn Drive, Jericho, Kansas. (This address does not match the address seen on Eric's driver's license in the eighth episode.)
In ""Rogue River"", she reveals to Johnston Green that she is pregnant. In ""Crossroads"", Eric admits to April that he has had an affair with Mary Bailey","{'Bobby Ewing': 'Sheree J. Wilson', 'Ninja Turtles': ""April O'Neil"", 'George': 'Move On', ""a neighbour's daughter"": 'April Love', 'Shadow': ""April O'Neil"", 'Carol Jackson, Derek, Sue, Max and Jack Branning. \nHistory.\nApril arrived in Albert Square in December 1995 to invite Carol and her boyfriend Alan to her wedding. April had been living and working in Greece': 'April Branning', 'Donatello': ""April O'Neil"", 'her son, Luke': 'Sheree J. Wilson', 'Eric\'s wife and a doctor at the medical center. There is much tension in Eric and April\'s relationship.\nEric discovers that April had planned to divorce him before the attack, but no longer wants to do so. The divorce petition, seen briefly in the fifth episode, identifies their residence as 4893 Deerborn Drive, Jericho, Kansas. (This address does not match the address seen on Eric\'s driver\'s license in the eighth episode.)\nIn ""Rogue River"", she reveals to Johnston Green that she is pregnant. In ""Crossroads"", Eric admits to April that he has had an affair with Mary Bailey': 'April Green (Jericho character)'}",40.0,"April Ludgate, the deadpan employee",Aubrey Plaza,33.33333333333333,Ben and Derek,Andy and April's Fancy Party,100.0,Ben and Derek,Andy and April's Fancy Party,66.66666666666667
